Max Plume Concentration (ppm m),UTC Time Observed,Latitude of max concentration,Longitude of max concentration,Concentration Uncertainty (ppm m)
2895.0,2022-08-10T06:49:57Z,31.12788965249969,35.20281459382317,553.0
1331.0,2022-08-10T06:49:57Z,31.909788946709373,36.229802987188734,343.0
3401.0,2022-08-10T06:49:57Z,35.299284430831925,40.45650548258711,526.0
1364.0,2022-08-10T06:49:57Z,35.27705289750141,40.512897664693774,308.0
1312.0,2022-08-11T04:26:30Z,22.33125147638067,56.40898622852942,383.0
1266.0,2022-08-14T05:14:12Z,34.89369450568018,41.13809176054937,386.0
4626.0,2022-08-15T04:28:26Z,39.46254572136032,53.774278412603756,422.0
4694.0,2022-08-15T04:28:26Z,39.36060600755212,53.7650604597594,313.0
1565.0,2022-08-15T04:28:26Z,39.35409921730904,53.872964731290416,389.0
2189.0,2022-08-15T07:46:45Z,49.90919745661948,72.21560642652278,670.0
4008.0,2022-08-15T14:08:23Z,28.82285920888986,20.851546480197996,368.0
1750.0,2022-08-16T03:44:09Z,45.9975320554901,72.70144676467247,470.0
1207.0,2022-08-16T10:10:35Z,40.24986734077262,58.4369358542883,250.0
1626.0,2022-08-16T10:10:35Z,39.67564310182113,60.19648038252021,252.0
1494.0,2022-08-16T11:45:05Z,36.16089190551928,41.073566090638906,385.0
3867.0,2022-08-17T04:32:35Z,50.23074134113155,72.90586842480911,936.0
4170.0,2022-08-17T04:32:35Z,50.223692318368215,72.67053951101785,955.0
1973.0,2022-08-17T09:20:38Z,45.344141868581104,55.188420825432345,337.0
2348.0,2022-08-18T03:42:31Z,46.549524761111066,64.67098313967578,427.0
4381.0,2022-08-18T07:01:05Z,44.037903727283506,87.8698592863241,980.0
1376.0,2022-08-18T08:35:06Z,41.102256862615576,69.49468363987636,457.0
4122.0,2022-08-18T11:44:40Z,31.928767084918412,36.19618457093288,818.0
1806.0,2022-08-19T09:22:31Z,36.231924365672924,59.98121407197843,328.0
965.0,2022-08-19T12:30:47Z,29.246885039730333,21.546688571166552,270.0
4281.0,2022-08-20T05:28:04Z,39.090031979944264,109.47890968358048,670.0
3049.0,2022-08-20T08:33:24Z,40.04761461071691,61.04453204420112,432.0
1494.0,2022-08-20T08:33:24Z,40.16907469525434,60.79022499220088,298.0
1268.0,2022-08-22T06:57:13Z,41.6260534771832,69.53968893905758,357.0
1605.0,2022-08-22T10:06:53Z,31.933104945080476,36.20974038393924,403.0
9362.0,2022-08-23T07:45:04Z,36.208608367301906,61.52061219698625,401.0
2042.0,2022-08-23T07:45:04Z,36.20481273966011,61.57700437909291,406.0
1113.0,2022-08-23T07:45:04Z,35.977617313672695,61.91535747173288,216.0
889.0,2022-08-23T07:45:04Z,35.83392569580476,61.946806957907754,199.0
4466.0,2022-08-26T06:54:35Z,37.92856992155512,53.914716635350175,446.0
3339.0,2022-08-26T06:54:35Z,37.90796508578538,53.89682296218171,463.0
1391.0,2022-08-26T06:54:35Z,37.8927825752182,53.91580110039068,396.0
3176.0,2022-08-26T06:54:35Z,37.73607737686411,53.92989914591735,566.0
1635.0,2022-08-26T08:29:15Z,33.33369154490263,36.436393577406484,328.0
5126.0,2022-08-26T17:46:42Z,32.356588543400676,-104.09238199987587,498.0
2025.0,2022-08-26T17:46:42Z,32.24055078406582,-104.05388349093766,503.0
2251.0,2022-08-27T06:06:54Z,37.34024763707695,60.487117013377585,468.0
3440.0,2022-08-27T06:06:54Z,36.63534536074367,61.63990335144262,249.0
5493.0,2022-08-27T06:06:54Z,36.471048907105995,61.45825545715674,668.0
2685.0,2022-08-27T06:06:54Z,36.41791012012087,61.5444704278775,501.0
4107.0,2022-08-27T06:06:54Z,36.372362588419335,61.55639954332314,444.0
8691.0,2022-08-27T06:06:54Z,36.47918239490984,61.63664995632109,340.0
4154.0,2022-08-27T06:06:54Z,36.40055867947267,61.57863107665365,332.0
2048.0,2022-08-27T06:06:54Z,36.48514695263266,61.63285432867929,389.0
1040.0,2022-08-27T06:06:54Z,36.378869378662415,61.91698416929363,161.0
2204.0,2022-08-27T07:40:30Z,36.98400087126844,37.40156746346275,453.0
1549.0,2022-08-27T10:49:27Z,28.118499165076894,0.31665870556906806,360.0
3855.0,2022-08-28T05:18:53Z,39.97387098796205,61.6800285579416,247.0
1406.0,2022-08-28T05:18:53Z,39.9185632708959,62.348059022897445,262.0
2289.0,2022-08-28T05:18:53Z,40.051410238358706,62.59857044725588,263.0
